	SRR7217923	SRR7217925	SRR7217927	SRR7217929
gfcD	4	1	6	1
gfcC	0	0	1	0
gfcB	0	0	0	1
gfcA	0	1	1	0
insA-4	1	0	0	0
insB-4	8	7	6	3
cspH	0	0	0	0
cspG	1	2	0	1
ymcF	4	3	0	0
ymcE	0	0	0	0
gnsA	1	0	1	1
yccM	9	16	40	65
torS	11	8	9	15
torT	6	8	8	22
torR	3	3	5	1
torC	0	0	0	0
torA	3	0	4	6
torD	2	1	4	1
cbpM	4	2	8	5
cbpA	56	63	80	98
yccE	0	2	0	2
agp	666	625	1272	1616
yccJ	6	7	10	11
wrbA	138	87	241	325
ymdF	0	0	1	0
rutG	7	1	6	4
rutF	0	0	0	0
rutE	0	0	0	0
rutD	0	0	0	0
rutC	0	0	0	1
rutB	0	0	0	0
rutA	0	0	1	0
rutR	8	10	9	9
putA	171	133	71	64
ymdG	0	0	0	0
putP	53	42	24	21
efeO	26	14	0	3
efeB	15	4	0	1
phoH	10	5	4	0
pgaD	3	4	2	5
pgaC	28	27	28	35
pgaB	63	54	72	65
pgaA	245	127	209	241
dgcT	37	17	34	16
insF-4	0	0	0	0
insE-4	0	0	0	0
ycdU	0	0	0	0
serX	0	0	0	0
ghrA	52	43	62	77
ycdX	50	35	58	47
ycdY	33	30	27	27
ycdZ	20	21	11	17
csgG	3	0	0	3
csgF	0	0	0	0
csgE	0	0	0	0
csgD	1	0	0	0
csgB	0	0	0	0
csgA	0	1	0	1
csgC	0	0	0	0
ymdA	0	0	0	0
ymdB	6	8	5	19
clsC	12	14	12	15
opgC	20	20	10	3
opgG	216	208	204	234
opgH	271	307	216	231
yceK	0	0	0	2
msyB	7	2	5	7
mdtG	10	7	21	6
lpxL	52	37	68	47
yceA	83	79	13	9
yceI	5	5	4	1
yceJ	1	1	1	0
yceO	0	0	0	0
solA	50	50	51	47
bssS	7	4	10	11
dinI	3	3	2	3
pyrC	69	78	32	30
yceB	28	22	32	32
grxB	58	58	93	114
mdtH	7	6	6	10
rimJ	19	26	59	65
yceH	28	21	45	54
yceM	43	30	61	55
murJ	41	38	27	21
flgN	1	0	1	2
flgM	0	0	1	0
flgA	1	1	2	2
flgB	2	1	3	0
flgC	1	0	2	0
flgD	3	1	0	3
flgE	10	6	8	3
flgF	1	7	1	2
flgG	0	3	6	5
flgH	2	1	2	2
flgI	0	2	3	0
flgJ	1	1	1	2
flgK	6	5	5	4
flgL	3	6	4	4
rne	906	867	918	925
yceQ	7	1	2	9
rluC	108	87	69	35
yceF	28	13	25	16
sraB	0	1	0	0
yceD	671	540	328	245
rpmF	18	27	15	17
plsX	191	226	150	140
fabH	261	273	199	203
fabD	307	362	263	289
fabG	562	525	519	540
acpP	128	143	102	157
fabF	877	844	661	573
pabC	7	12	8	10
mltG	12	22	14	10
tmk	22	21	27	15
holB	39	31	26	30
ycfH	35	34	18	22
ptsG	90	72	76	104
fhuE	25	12	3	4
hinT	40	19	23	43
ycfL	15	14	22	20
lpoB	45	43	61	75
thiK	12	8	13	14
nagZ	59	47	53	55
ycfP	95	76	188	214
ndh	267	256	228	214
ycfJ	3	7	5	5
comR	6	10	14	6
bhsA	0	2	0	0
ldtC	10	10	8	7
mfd	140	130	143	134
ycfT	0	0	0	0
lolC	98	81	74	42
lolD	47	40	29	25
lolE	82	61	49	58
nagK	49	64	65	57
cobB	77	54	65	52
ycfZ	2	0	1	1
ymfA	2	0	0	3
